Model,Accuracy,Precision,Recall,F1,Balanced_Acc
Logistic Regression,0.8887,0.4248571428571429,0.8747058823529412,0.571923076923077,0.8823529411764706
KNN,0.89705,0.4408566721581549,0.7870588235294118,0.5651531151003167,0.8471632915461267
Neural Network (PyTorch),0.7749,0.26092150170648465,0.8994117647058824,0.4044973544973545,0.8313725490196078
